Day,"1,417","1,784","2,439",1695.9,1490,,,Day of week,Notes,,206
,FX 7.5,BB,BMC,S2016,S2017,FX 7.7,Other,,1302,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2/24/2015,,,,,,11.4,,Tuesday,,25,
2/23/2015,12.9,,,,,,,Monday,,24,
2/21/2015,,,,,,16.9,,Saturday,,23,
2/20/2015,5,,,,,,,Friday,,22,
2/19/2015,10.5,,,,,,,Thursday,,21,
2/18/2015,,,,,,11.6,,Wednesday,,20,
2/16/2015,,,,,,20,,Monday,,19,
2/14/2015,10.3,,,,,,,Saturday,,18,
2/13/2015,,,,,,16.8,,Friday,,17,
2/11/2015,10.6,,,,,,,Tuesday,,16,
2/9/2015,11.6,,,,,,,Monday,,15,
2/2/2015,,,,,,12.4,,Monday,,14,
1/31/2015,,,,,,10.7,,Saturday,,13,
1/29/2015,,,,,,12.5,,Thursday,,12,
1/28/2015,10.4,,,,,,,Wednesday,,11,
1/26/2015,,,,,,15,,Monday,,10,
1/19/2015,13,,,,,,,Monday,,9,
1/18/2015,12.5,,,,,,,Sunday,,8,
1/15/2015,,,,,,18.5,,Thursday,,7,
1/9/2015,,,,,,18,,Friday,,6,
1/7/2015,,,,,,16,,Wednesday,,5,
1/6/2015,,,,,,19,,Tuesday,,4,
1/4/2015,,,,,,9,,Sunday,,3,
1/3/2015,,,,,,23.5,,Saturday,,2,
1/2/2015,,,,,,17,,Friday,,1,
12/27/2014,,,,,,10,,Saturday,,150,
12/26/2014,,,,,,31.5,,Friday,,149,
12/23/2014,,,,,,10,,Tuesday,,148,
12/22/2014,,,,,,20.9,,Monday,,147,
12/20/2014,,,,,,12.6,3,Saturday,,146,
12/17/2014,,,,,,17.4,,Sunday,,145,
12/10/2014,9.9,,,,,,,Wednesday,,144,
12/9/2014,5,,,,,,1.5,Tuesday,,143,
12/8/2014,6,,,,,,,Monday,,142,
12/7/2014,5,,,,,,,Sunday,,141,
12/6/2014,,,,,,22,,Saturday,,140,
12/4/2014,,,,,,12.8,,Thursday,,139,
12/1/2014,,,,,,3,,Monday,,138,
11/27/2014,,,,,,14,,Thursday,,137,
11/26/2014,,,,,,18.5,,Wednesday,,136,
11/23/2014,13.5,,,,,,,Sunday,,135,
11/15/2014,,,,,,14.9,,Friday,,134,
11/10/2014,,,,,,14.6,,Monday,,133,
11/8/2014,15.3,,,,,,,Saturday,,132,
11/5/2014,,,,,,12.6,,Tuesday,,131,
11/3/2014,,,,,,12.6,,Monday,,130,
10/29/2014,,,,,,15.8,,Wednesday,,129,
10/27/2014,,,,,,15.8,,Monday,,128,
10/26/2014,,,,,,10,,Sunday,,127,
10/25/2014,11.5,,,,,,,Saturday,,126,
10/23/2014,,,,,,17.7,,Thursday,,125,
10/22/2014,,,,,,18.6,,Wednesday,,124,
10/21/2014,,,,,,12.6,,Tuesday,,123,
10/20/2014,,,,,,8.6,,Monday,,122,
10/19/2014,,12.6,,,,,,Sunday,,121,
10/18/2014,,23.3,,,,,,Saturday,,120,
10/15/2014,,,,,,14.7,,Wednesday,,119,
10/12/2014,,,,,,16.5,,Sunday,,118,
10/9/2014,,,,,,12.8,,Thursday,,117,
10/8/2014,,,,,,18.5,,Wednesday,,116,
10/3/2014,,,,,,19,,Friday,,115,
10/1/2014,,,,,,15.8,,Wednesday,,114,
9/29/2014,,,,,,19.2,,Monday,,113,
9/17/2014,,,,,,16.1,,Wednesday,,112,
9/16/2014,,,,,,19.3,,Tuesday,,111,
9/15/2014,,,,,,19.7,,Monday,,110,
9/14/2014,,6.5,,,,,,Sunday,,109,
9/13/2014,,11,,,,,,Saturday,,108,
9/11/2014,,,,,,22.1,,Thursday,,107,
9/8/2014,,,,,,12.6,,Monday,,106,
9/5/2014,,,,,,19,,Friday,,105,
9/2/2014,,,,,,17,,Tuesday,,104,
8/30/2014,,11.4,,,,,,Saturday,,104,
8/27/2014,,,,,,17.2,,Wednesday,,103,
8/26/2014,,,,,,18.5,,Tuesday,,102,
8/23/2014,,,,,,18.5,,Saturday,,101,
8/21/2014,,,,,,13,,Thursday,,100,
8/16/2014,,,,,,15.8,,Monday,,99,
8/12/2014,,,,,,19.4,,Tuesday,,98,
8/11/2014,,,,,,13,,Monday,,97,
8/9/2014,,,,,,14.5,,Saturday,"@ 3,834 mi New tires (need to rotate at 1000 miles)",96,
8/7/2014,,10,,,,,,Thursday,,95,
8/5/2014,,,,,,14.4,,Tuesday,,94,
8/4/2014,,,,,,10,,Monday,,93,
8/3/2014,,,,,,17.2,,Sunday,,92,
7/29/2014,,,,,,19,,Tuesday,"@ 3,792 mi New chain",91,
7/25/2014,,,,,,14,,Friday,,90,
7/24/2014,,,,,,15.8,,Thursday,,89,
7/22/2014,,,,,,14.4,,Tuesday,,88,
7/20/2014,,,,,,12.6,,Sunday,,87,
7/17/2014,,,,,,14.8,,Thursday,,86,
7/15/2014,,,,,,15.8,,Tuesday,,85,
7/14/2014,,,,,,15,,Monday,,84,
7/13/2014,,,,,,14.8,,Sunday,,83,
7/10/2014,,,,,,16,,Thursday,,82,
7/8/2014,,,,,,19,,Tuesday,,81,
7/7/2014,,,,,,10,,Monday,,80,
7/3/2014,,,,,,11,,Thursday,"@ 3,600 Bike fitting",79,
7/1/2014,,,,,,19.9,,Tuesday,,78,
6/29/2014,,,,,,17.2,,Sunday,,77,
6/27/2014,,12.7,,,,,,Friday,,76,
6/25/2014,,,,,,17.7,,Wednesday,,75,
6/23/2014,,,,,,11.6,9.3,Monday,,74,
6/20/2014,,,,,,,14.7,Friday,,73,
6/19/2014,,,,,,,18.7,Thursday,,72,
6/18/2014,,,,,,,17.2,Wednesday,,71,
6/17/2014,,,,,,8.3,20.9,Tuesday,,70,
6/13/2014,,,,,,17.8,,Friday,,69,
6/12/2014,,,,,,13.4,,Thursday,,68,
6/11/2014,,,,,,12.6,,Wednesday,,67,
6/6/2014,,,,,,19.2,,Friday,,66,
6/1/2014,,,,,,19.1,,Sunday,,65,
5/30/2014,,,,,,15.4,,Friday,,64,
5/28/2014,,,,,,18.7,,Wednesday,,63,
5/26/2014,,11.6,,,,,,Monday,,62,
5/24/2014,,,,,,19,,Saturday,,61,
5/22/2014,,,,,,15,,Thursday,,60,
5/20/2014,,,,,,17.8,,Tuesday,,59,
5/19/2014,,,,,,18.9,,Monday,,58,
5/16/2014,,22.3,,,,,,Friday,,57,
5/13/2014,,,,,,12.6,,Tuesday,,56,
5/12/2014,,,,,,23,,Monday,,55,
5/9/2014,,10.6,,,,,,Friday,,54,
5/8/2014,,,,,,17.8,,Thursday,,53,
5/7/2014,,,,,,9.8,,Wednesday,,52,
5/6/2014,,,,,,18.8,,Tuesday,,51,
5/3/2014,,14.4,,,,,,Saturday,,50,
5/2/2014,,,,,,19.4,,Friday,"@ 3,257 mi Rotated tires on Trek ",49,
5/1/2014,,,,,,12.6,,Thursday,,48,
4/29/2014,,,,,,15.6,,Tuesday,,47,
4/28/2014,,,,,,21.1,,Monday,,46,
4/24/2014,,,,,,12.6,,Thursday,,45,
4/23/2014,,,,,,16.2,,Wednesday,,44,
4/22/2014,,,,,,16.8,,Tuesday,,43,
4/21/2014,,,,,,12.8,,Monday,,42,
4/18/2014,,,,,,16.2,,Friday,,41,
4/17/2014,,,,,,18.3,,Thursday,,40,
4/12/2014,,,,,,18,,Saturday,,39,
4/10/2014,,,,,,18.4,,Thursday,,38,
4/9/2014,,,,,,16.1,,Wednesday,,37,
4/8/2014,,,,,,13.5,,Tuesday,,36,
4/7/2014,,,,,,20.5,,Monday,,35,
4/6/2014,,12.9,,,,,,Sunday,,34,
4/3/2014,,,,,,11.7,,Thusday,,33,
4/2/2014,,,,,,17.8,,Wednesday,,32,
3/27/2014,,,,,,23.6,,Thursday,,31,
3/24/2014,,,,,,21.8,,Monday,,30,
3/23/2014,,11.2,,,,,,Sunday,,29,
3/21/2014,,,,,,16,,Friday,,28,
3/19/2014,,,,,,18.8,,Wednesday,,27,
3/18/2014,,,,,,15,,Tuesday,,26,
3/17/2014,,,,,,17.8,,Monday,To work and back on Johnson,25,
3/16/2014,,,,,,18.1,,Sunday,,24,
3/11/2014,,,,,,6,,Tuesday,,23,
3/10/2014,,,,,,11.5,,Monday,,22,
3/8/2014,,,,,,17.6,,Saturday,,21,
3/7/2014,,,,,,19.6,,Friday,,20,
3/6/2014,,,,,,12.6,,Thursday,,19,
3/5/2014,,,,,,12.5,,Wednesday,,18,
3/4/2014,,,,,,12.6,,Tuesday,,17,
2/25/2014,,,,,,19,,Tuesday,,16,
2/24/2014,,,,,,11.5,,Monday,,15,
2/13/2014,,,,,,17.8,,Thursday,,14,
2/11/2014,,,,,,15.5,,Tuesday,,13,
2/3/2014,,,,,,12.6,,Monday,,12,
1/31/2014,,,,,,18.8,,Friday,,11,
1/29/2014,,,,,,11.9,,Wednesday,,10,
1/21/2014,,,,,,12.9,,Tuesday,,9,
1/19/2014,,,,,,15,,Sunday,,8,
1/16/2014,,,,,,12.6,,Thursday,,7,
1/14/2014,,,,,,17.8,,Tuesday,,6,
1/10/2014,,,,,,11.5,,Friday,,5,
1/9/2014,,,,,,18.8,,Thursday,,4,
1/5/2014,,,,,,20,,Sunday,,3,
1/3/2014,,,,,,15.9,,Friday,,2,
1/1/2014,,,,,,22.7,,Wednesday,,1,
12/30/2013,,,,,,11.5,,Monday,,154,
12/26/2013,,,,,,14.5,,Thursday,,153,
12/24/2013,,,,,,11.8,,Tuesday,,152,
12/23/2013,,,,,,17.8,,Monday,,151,
12/15/2013,,,,,,11.5,,Sunday,,150,
12/14/2013,,,,,,24,,Saturday,,149,
12/9/2013,,,,,,11.5,,Monday,,148,
12/2/2013,,,,,,17.8,,Monday,,147,
12/1/2013,,10.4,,,,,,Sunday,,146,
11/28/2013,,,,,,11.5,,Thursday,,145,
11/26/2013,,4,,,,,,Tuesday,,144,
11/25/2013,,,,,,20.2,,Monday,,143,
11/22/2013,,10.4,,,,,,Friday,,142,
11/17/2013,,11,,,,,,Sunday,,141,
11/15/2013,,,,,,17.4,,Friday,,140,
11/12/2013,,11.4,,,,,,Tuesday,,139,
11/8/2013,,10.4,,,,,,Friday,,138,
11/7/2013,,,,,,15.4,,Thursday,,137,
11/4/2013,,,,,,15.1,,Monday,,136,
11/3/2013,,,,,,18.4,,Sunday,"Cox,Sterling,Homestead,Winchester,Campbell",135,
11/1/2013,,,,,,11.5,,Friday,,134,
10/31/2013,,,,,,6,,Thursday,,133,
10/30/2013,,,,,,21.3,,Wednesday,,132,
10/28/2013,,,,,,11,,Monday,,131,
10/25/2013,,,,,,13.9,,Friday,,130,
10/24/2013,,,,,,10,,Thursday,,129,
10/22/2013,,,,,,15.1,,Tuesday,,128,
10/17/2013,,,,,,16.8,,Thursday,,127,
10/15/2013,,,,,,12.6,,Tuesday,,126,
10/13/2013,,,,,,19.2,,Sunday,,125,
10/10/2013,,,,,,10,,Thursday,,124,
10/7/2013,,,,,,11.5,,Monday,,123,
10/1/2013,,,,,,15.3,,Tuesday,,122,
9/29/2013,,,,,,10,,Sunday,,121,
9/27/2013,,,,,,13.5,,Friday,,120,
9/26/2013,,,,,,15.4,,Thursday,,119,
9/23/2013,,,,,,16.1,,Monday,,118,
9/22/2013,,,,,,20.2,,Sunday,,117,
9/18/2013,,,,,,12.6,,Wednesday,,116,
9/17/2013,,,,,,13,,Tuesday,,115,
9/16/2013,,,,,,17.6,,Monday,,114,
9/13/2013,,,,,,10,,Friday,,113,
9/11/2013,,,,,,15.7,,Wednesday,,112,
9/10/2013,,,,,,10,,Tuesday,,111,
9/9/2013,,,,,,16.5,,Monday,,110,
9/5/2013,,,,,,14.5,,Thursday,,109,
9/3/2013,,,,,,15.1,,Tuesday,,108,
9/2/2013,,,,,,11.5,,Monday,,107,
9/1/2013,,9.3,,,,,,Sunday,,106,
8/30/2013,,,,,,11.4,,Friday,,105,
8/26/2013,,,,,,11.6,,Monday,,104,
8/23/2013,,,,,,6.8,,Friday,,103,
8/22/2013,,,,,,14.6,,Thursday,,102,
8/21/2013,,,,,,13,,Wednesday,,101,
8/20/2013,,,,,,16.1,,Tuesday,,100,
8/19/2013,,,,,,21.5,,Monday,,99,
8/14/2013,,,,,,10,,Wednesday,,98,
8/13/2013,,,,,,18.8,,Tuesday,,97,
8/12/2013,,,,,,9,,Monday,,96,
8/10/2013,,,,,,11.5,,Saturday,,95,
8/6/2013,,,,,,10,,Tuesday,,94,
8/5/2013,,,,,,12,,Monday,,93,
8/1/2013,,,,,,15.1,,Thursday,,92,
7/31/2013,,,,,,17.6,,Wednesday,,91,
7/30/2013,,,,,,14.6,,Tuesday,"@ 1,697mi New tires on Trek ",90,
7/29/2013,,,,,,15.6,,Monday,,89,
7/22/2013,,,,,,22.3,,Monday,,88,
7/19/2013,,,,,,10,,Friday,,87,
7/18/2013,,,,,,18.6,,Thursday,,86,
7/15/2013,,,,,,11.5,,Monday,,85,
7/8/2013,,,,,,18.2,,Monday,,84,
7/7/2013,,9.9,,,,,,Sunday,Condo to end of park and back,83,
7/5/2013,,,,,,10,,Friday,,82,
7/2/2013,,,,,,17.6,,Tuesday,,81,
7/1/2013,,,,,,11,,Monday,"@1,548mi swapped front and rear tires",,
6/29/2013,,11.8,,,,,,Saturday,,,
6/28/2013,,,,,,12,,Friday,,,
6/27/2013,,,,,,10,,Thursday,,,
6/26/2013,,,,,,21.1,,Wednesday,"Path,9,Bollinger,path,Prospect",,
6/21/2013,,,,,,12.7,,Friday,"Westmont, Sterling, Bollinger, Johnson",,
6/20/2013,,,,,,13.6,,Thursday,,,
6/19/2013,,,,,,15.1,,Wednesday,,,
6/18/2013,,,,,,16.1,,Tuesday,,,
6/16/2013,,,,,,15.1,,Sunday,,,
6/11/2013,,,,,,16.1,,Tuesday,,,
6/10/2013,,,,,,13.2,,Monday,,,
6/7/2013,,,,,,19.3,,Friday,,,
6/6/2013,,,,,,16.5,,Thursday,,,
6/5/2013,,,,,,11.5,,Wednesday,,,
6/4/2013,,,,,,17,,Tuesday,,,
6/3/2013,,,,,,14,,Monday,,,
6/2/2013,,11.5,,,,,,Sunday,,,
6/1/2013,,9.7,,,,,,Saturday,,,
5/28/2013,,,,,,,25.6,Tuesday,Specialized Roubaix,,
5/20/2013,,,,,,15,,Monday,,,
5/19/2013,,,,,,19.5,,Sunday,,,
5/18/2013,,,,,,9.8,,Saturday,,,
5/15/2013,,,,,,17.5,,Wednesday,,,
5/13/2013,,,,,,25,,Monday,,,
5/10/2013,,,,,,13,,Friday,,,
5/9/2013,,,,,,15.6,,Thursday,,,
5/8/2013,,,,,,11.5,,Wednesday,,,
5/6/2013,,,,,,11.5,,Monday,,,
5/3/2013,,,,,,17.6,,Friday,"path, knowles, burrows, westmont, de anza, mp, johnson",,
5/2/2013,,,,,,10,,Thursday,,,
5/1/2013,,,,,,15.1,,Wednesday,,,
4/29/2013,,,,,,11.4,,Monday,STA westmont cox deanza boll BP prospect,,
4/26/2013,,,,,,10.1,,Friday,,,
4/25/2013,,,,,,16.9,,Thursday,,,
4/21/2013,,,,,,13.7,,Sunday,,,
4/19/2013,,,,,,11.7,,Friday,,,
4/18/2013,,,,,,10.1,,Thursday,,,
4/17/2013,,9.5,,,,,,Wednesday,To natural bridges via murray,,
4/16/2013,,9.7,,,,,,Tuesday,,,
4/15/2013,,15.1,,,,,,Monday,"Sea, Soquel, frontage, 41, capitola, 41, brommer, murray",,
4/13/2013,,10,,,,,,Saturday,,,
4/12/2013,,,,,,20,,,,,
3/29/2013,,,,,,23.5,,Friday,,,
3/28/2013,,,,,,17.3,,Thursday,,,
3/26/2013,,,,,,15.1,,Tuesday,,,
3/25/2013,,,,,,15.1,,Monday,"path, knowles, burrows, westmont, de anza, prospect",,
3/24/2013,,,,,,12.3,,Sunday,"STA, westmont, cox, train, sterling, boll, BP, prospect",,
3/21/2013,,,,,,10,,Thursday,,,
3/19/2013,,,,,,16,,Tuesday,,,
3/16/2013,,,,,,14.7,,Saturday,,,
3/15/2013,,,,,,17.4,,Friday,,,
3/13/2013,,,,,,13,,Wednesday,,,
3/12/2013,,,,,,10,,Tuesday,,,
3/11/2013,,,,,,16.1,,Monday,,,
3/8/2013,,,,,,15,,Friday,,,
3/4/2013,,,,,,9,,Monday,,,
3/3/2013,,,,,,10,,Sunday,,,
3/1/2013,,,,,,18.9,,Friday,,,
2/28/2013,,,,,,12,,Thursday,,,
2/27/2013,,,,,,10,,Wednesday,,,
2/26/2013,,,,,,23.5,,Tuesday,,,
2/22/2013,,,,,,16,,Friday,,,
2/20/2013,,,,,,13,,Wednesday,,,
2/18/2013,,,,,,6,,Monday,,,
2/16/2013,,,,,,12.9,,Saturday,,,
2/14/2013,,,,,,10,,Thursday,,,
2/12/2013,,,,,,15.7,,Tuesday,,,
2/11/2013,,,,,,12.8,,Monday,"sta, doyle, boll, sterling, cox, westmont, sta",,
2/6/2013,,,,,,11.3,,Wednesday,,,
2/4/2013,,,,,,16.3,,Monday,,,
2/1/2013,,,,,,10.2,,Friday,,,
1/31/2013,,,,,,14.7,,Thursday,,,
1/30/2013,,,,,,15.1,,Wednesday,,,
1/17/2013,,,,,,16.5,,Thursday,,,
1/15/2013,,,,,,12.1,,Tuesday,,,
1/10/2013,,,,,,10,,Friday,,,
1/8/2013,,,,,,6,,Wednesday,,,
1/7/2013,,,,,,16.1,,Monday,"path, knowles, burrows, westmont, de anza, rainbow",,
1/2/2013,,,,,,10,,Wednesday,,,
12/31/2012,,,,,,11.3,,Monday,,,
12/30/2012,,12.2,,,,,,Sunday,,,
12/27/2012,,,,,,13.2,,Thursday,,,
12/24/2012,,,,,,16.8,,Monday,,,
12/18/2012,,,,,,10,,Tuesday,,,
12/8/2012,,,,,,15,,Saturday,,,
11/26/2012,,,,,,16.1,,Monday,,,
11/22/2012,,,,,,10,,Thursday,10 mile loop,,
11/21/2012,,,,,,16,,Wednesday,,,
11/19/2012,,,,,,16.1,,Monday,"path, knowles, burrows, westmont, de anza, rainbow",,
11/18/2012,,,,,,7,,Sunday,7 mile loop,,
11/12/2012,,,,,,9,,Monday,Westmont/Prospect loop,,
11/4/2012,,,,,,10.5,,Sunday,2.5 laps,,
11/2/2012,,,,,,15.3,,Friday,,,
10/29/2012,,,,,,9.9,,Monday,,,
10/27/2012,,10.1,,,,,,Saturday,,,
10/26/2012,,,,,,15.1,,Friday,,,
10/19/2012,,,,,,13.5,,Friday,,,
10/17/2012,,,,,,6,,Wednesday,,,
10/16/2012,,,,,,10.3,,Tuesday,,,
10/15/2012,,,,,,15.6,,Monday,,,
10/8/2012,,,,,,14.1,,Monday,,,
10/5/2012,,,,,,12.6,,Friday,,,
10/4/2012,,,,,,15,,Thursday,,,
9/29/2012,,,,,,12.6,,Friday,,,
9/25/2012,,,,,,12.6,,Tuesday,,,
9/24/2012,,,,,,20.3,,Monday,,,
9/21/2012,,10,,,,,,Friday,,,
9/20/2012,,,,,,12.6,,Thursday,,,
9/18/2012,,,,,,14.1,,Tuesday,,,
9/17/2012,,,,,,15,,Monday,"STA,?,MP,sterling, cox, westmont",,
9/14/2012,,,,,,10,,Friday,,,
9/12/2012,,,,,,14.6,,Wednesday,,,
9/11/2012,,,,,,14.3,,Tuesday,,,
9/10/2012,,,,,,14.1,,Monday,,,
9/9/2012,,12.6,,,,,,Sunday,,,
9/7/2012,,,,,,19.4,,Friday,"Path,main,9,prospect",,
9/4/2012,,,,,,15.5,,Tuesday,,,
8/31/2012,,14.1,,,,,,Friday,"Path, hacienda,westmont,prospect",,
8/28/2012,,,,,,11.1,,Tuesday,"StA,westmont,cox,da,blaney,mp,miller,rainbow",,
8/27/2012,,,,,,16.4,,Monday,,,
8/26/2012,,11.5,,,,,,Sunday,,,
8/20/2012,,,,,,20,,Monday,,,
8/19/2012,,12.7,,,,,,Sunday,,,
8/17/2012,,,,,,32.9,,Friday,,,
8/15/2012,,,,,,12.6,,Wednesday,First ride on the Trek,,
8/14/2012,,13.6,,,,,,Tuesday,,,
8/13/2012,,13.6,,,,,,Monday,,,
8/10/2012,,15.2,,,,,,Friday,,,
8/9/2012,,10.2,,,,,,Thursday,Rainbow/Westmont loop,,
8/5/2012,,,,,,,12.4,Sunday,Austin,,
8/1/2012,,15.1,,,,,,Wednesday,,,
7/30/2012,,13.4,,,,,,Monday,Blaney to Rainbow,,
7/28/2012,,10.9,,,,,,Saturday,"STA, Moorpark, DeAnza, Prospect",,
7/27/2012,,23.2,,,,,,Friday,New front tire 1200m,,
7/26/2012,,20.1,,,,,,Thursday,,,
7/25/2012,,13.6,,,,,,Wednesday,Rainbow,,
7/24/2012,,13.1,,,,,,Tuesday,,,
7/23/2012,,13.2,,,,,,Monday,"STA,Payne,Moorpark,DeAnza,Cox,Bucknell",,
7/18/2012,,16.6,,,,,,Wednesday,,,
7/17/2012,,13.6,,,,,,Tuesday,Rainbow,,
7/5/2012,,16.1,,,,,,Thursday,"Cox,Sterling,Homestead,San Tomas,Payne",,
7/2/2012,,7.5,,,,,,Monday,,,
6/28/2012,,15.2,,,,,,Thursday,Misc,,
6/25/2012,,13.6,,,,,,Monday,Rainbow,,
6/22/2012,,12.6,,,,,,Friday,Prospect,,
6/15/2012,,17.8,,,,,,Friday,"Path, 9, Prospect",,
6/14/2012,,12.6,,,,,,Thursday,Prospect,,
6/9/2012,,16,,,,,,Saturday,,,
6/8/2012,,12.6,,,,,,Friday,Prospect,,
6/6/2012,,13.6,,,,,,Wednesday,Rainbow,,
5/28/2012,,20,,,,,,Monday,,,
5/27/2012,,15.8,,,,,,Sunday,,,
5/22/2012,,12.6,,,,,,Tuesday,Prospect,,
5/21/2012,,14,,,,,,Monday,"Cox,Sterling,Moorpark, SanTomas, Campbell",,
5/17/2012,,12.6,,,,,,Thursday,Prospect,,
5/14/2012,,12.6,,,,,,Monday,Prospect,,
5/13/2012,,13.8,,,,,,Sunday,,,
5/11/2012,,10.7,,,,,,Friday,,,
5/9/2012,,12.6,,,,,,Wednesday,Work and back on Cox/Prospect,,
5/8/2012,,13.6,,,,,,Tuesday,Work and back on Cox/Rainbow,,
5/7/2012,,17.4,,,,,,Monday,,,
5/2/2012,,11.3,,,,,,Wednesday,,,
4/30/2012,,13.5,,,,,,Monday,,,
4/18/2012,,15.3,,,,,,Wednesday,,,
4/17/2012,,15.8,,,,,,Tuesday,,,
4/16/2012,,12.4,,,,,,Monday,Work and back on Cox/Prospect,,
4/9/2012,,13.9,,,,,,Monday,New rear tire 780m,,
4/4/2012,,13,,,,,,Wednesday,,,
4/3/2012,,17,,,,,,Tuesday,,,
4/2/2012,,11.2,,,,,,Monday,,,
3/9/2012,,16.1,,,,,,Friday,,,
3/7/2012,,11.2,,,,,,Wednesday,,,
3/5/2012,,13,,,,,,Monday,,,
3/4/2012,,11.3,,,,,,Sunday,,,
2/24/2012,,10,,,,,,Friday,,,
2/5/2012,,14,,,,,,Sunday,,,
11/13/2011,,19.8,,,,,,Sunday,,,
10/18/2011,,15.1,,,,,,Tuesday,,,
10/17/2011,,13.3,,,,,,Monday,,,
10/13/2011,,12.5,,,,,,Thursday,,,
10/7/2011,,12.9,,,,,,Friday,,,
10/5/2011,,5.6,,,,,,Wednesday,,,
10/1/2011,,16.1,,,,,,Saturday,,,
9/1/2011,,12.5,,,,,,Thursday,,,
8/31/2011,,12.5,,,,,,Wednesday,,,
8/30/2011,,12.5,,,,,,Tuesday,,,
8/29/2011,,10,,,,,,Monday,,,
8/28/2011,,30.7,,,,,,Sunday,,,
8/26/2011,,12.5,,,,,,Friday,,,
8/25/2011,,14.50,,,,,,Thursday,,,
8/24/2011,,9.50,,,,,,Wednesday,,,
8/23/2011,,14.10,,,,,,Tuesday,,,
8/22/2011,,12.50,,,,,,Monday,,,
8/19/2011,,10.00,,,,,,Friday,,,
8/15/2011,,12.50,,,,,,Monday,,,
8/12/2011,,12.5,,,,,,Friday,,,
8/11/2011,,20.20,,,,,,Thursday,,,
8/10/2011,,10.60,,,,,,Wednesday,,,
8/9/2011,,12.90,,,,,,Tuesday,,,
8/8/2011,,20.90,,,,,,Monday,,,
7/20/2011,,11.00,,,,,,Wednesday,,,
7/18/2011,,20.00,,,,,,Monday,,,
7/7/2011,,22.00,,,,,,Thursday,,,
7/5/2011,,10.00,,,,,,Tuesday,,,
7/1/2011,,11.00,,,,,,Friday,,,
6/30/2011,,10.50,,,,,,Thursday,,,
6/24/2011,,9.50,,,,,,Friday,,,
6/23/2011,,10.50,,,,,,Thursday,,,
6/22/2011,,9.50,,,,,,Wednesday,,,
6/21/2011,,9.50,,,,,,Tuesday,,,
6/17/2011,,10.00,,,,,,Friday,,,
6/16/2011,,9.50,,,,,,Thursday,,,
6/14/2011,,10.00,,,,,,Tuesday,,,
6/13/2011,,9.50,,,,,,Monday,,,
6/3/2011,,27.00,,,,,,Friday,,,
6/1/2011,,10.00,,,,,,Wednesday,,,
5/31/2011,,9.50,,,,,,Tuesday,,,
4/22/2011,,10.20,,,,,,Friday,,,
4/18/2011,,9.50,,,,,,Monday,,,
4/4/2011,,10.00,,,,,,Monday,,,
4/1/2011,,9.50,,,,,,Friday,,,
3/24/2011,,6,,,,,,Thursday,,,
3/22/2011,,3.6,,,,,,Tuesday,,,
3/21/2011,,14,,,,,,Monday,,,
3/16/2011,,9.5,,,,,,Wednesday,,,
3/15/2011,,9.7,,,,,,Tuesday,,,
3/14/2011,,21,,,,,,Monday,,,
,,,,,,,,,,,
By Bike,"1,417","1,784","2,439",1695.9,1490,"4,916",208,,,,
Total,,,,,,,,"13,949",,,
