Day,"1,417","1,784","2,439",1695.9,1490,,,Day of week,Notes,,206
,FX 7.5,BB,BMC,S2016,S2017,FX 7.7,Other,,1302,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5/10/2017,,,,,15.1,,,Wednesday,,58,
5/9/2017,,,,,10,,,Tuesday,,57,
5/8/2017,,,,,12.3,,,Monday,,56,
5/7/2017,,,,,15.7,,,Sunday,,55,
5/5/2017,,,,,18.4,,,Friday,,54,
5/4/2017,,,,,12.5,,,Thursday,,53,
5/3/2017,,,,,20,,,Wednesday,,52,
5/2/2017,,,,12.3,,,,Tuesday,,51,
5/1/2017,,,,11.8,,,,Monday,,50,
4/30/2017,,,,13.5,,,,Sunday,,49,
4/28/2017,,,,,20.1,,,Friday,,48,
4/27/2017,,,,11.1,,,,Thursday,,47,
4/25/2017,,,,,15.7,,,Tuesday,,46,
4/23/2017,,,,,15.5,,,Sunday,,45,
4/22/2017,,,,10.1,,,,Saturday,,44,
4/21/2017,,,,15.1,,,,Friday,,43,
4/15/2017,,,,,14.8,,,Saturday,,42,
4/14/2017,,,,,15.1,,,Friday,,41,
4/10/2017,,,,10.9,,,,Monday,,40,
4/5/2017,,,,,17.4,,,Wednesday,,39,
4/4/2017,,,,,13.4,,,Tuesday,,38,
4/3/2017,,,,,14,,,Monday,,37,
4/2/2017,,,,,12.3,,,Sunday,,36,
3/29/2017,,,,,16.9,,,Wednesday,,35,
3/28/2017,,,,,15.5,,,Tuesday,,34,
3/27/2017,,,,,14.7,,,Monday,,33,
3/23/2017,,,,,14.2,,,Thursday,,32,
3/22/2017,,,,12,,,,Wednesday,,31,
3/17/2017,,,,15,,,,Friday,,30,
3/15/2017,,,,,14.3,,,Wednesday,,29,
3/14/2017,,,,14,,,,Tuesday,,28,
3/13/2017,,,,12.2,,,,Monday,,27,
3/10/2017,,,,11.2,,,,Friday,,26,
3/9/2017,,,,11.2,,,,Thursday,,25,
3/8/2017,,,,13.1,,,,Wednesday,,24,
3/3/2017,,,,13,,,,Friday,,23,
3/2/2017,,,,15.3,,,,Thursday,,22,
2/26/2017,,,,14.7,,,,Sunday,,21,
2/24/2017,,,,,,,13.3,Friday,,20,
2/23/2017,,,,,,,15.8,Thursday,,19,
2/22/2017,,,,9,,,,Wednesday,,18,
2/15/2017,,,,11.8,,,,Wednesday,,17,
2/14/2017,,,,10.2,,,,Tuesday,,16,
2/13/2017,,,,10.6,,,,Monday,,15,
2/12/2017,,,,20.6,,,,Sunday,,14,
1/31/2017,,,,,,,17,Tuesday,,13,
1/29/2017,,,,,,,15,Sunday,,12,
1/28/2017,,,,16.5,,,,Saturday,,11,
1/27/2017,,,,,,,12.6,Friday,,10,
1/26/2017,,,,12.2,,,,Thursday,,9,
1/25/2017,,,,14.2,,,,Wednesday,,8,
1/24/2017,,,,12.5,,,,Tuesday,,7,
1/17/2017,,,,13.1,,,,Tuesday,,6,
1/15/2017,,,,12.6,,,,Sunday,,5,
1/14/2017,,,,16,,,,Saturday,,4,
1/13/2017,,,,17.6,,,,Friday,,3,
1/11/2017,,,,12.5,,,,Wednesday,,2,
1/1/2017,,,,7,,,,Sunday,,1,
12/29/2016,,,,10.8,,,,Thursday,,177,
12/28/2016,,,,15.2,,,,Wednesday,,176,
12/27/2016,,,,13.2,,,,Tuesday,,175,
12/26/2016,,,,18.1,,,,Monday,,174,
12/24/2016,,,,15.2,,,,Saturday,,173,
12/16/2016,,,,6.2,,,,Friday,,172,
12/9/2016,,,,15.4,,,,Friday,,171,
11/28/2016,,,,13.9,,,,Tuesday,,170,
11/23/2016,,,,10.5,,,,Wednesday,,169,
11/21/2016,,,,13,,,,Monday,,168,
11/13/2016,,,20.1,,,,,Sunday,Boulder,167,
11/9/2016,,,16.2,,,,,Wednesday,Boulder,166,
11/6/2016,,,14,,,,,Sunday,Boulder,165,
11/1/2016,,,13.6,,,,,Tuesday,Boulder,164,
10/31/2016,,,16.4,,,,,Monday,Boulder,163,
10/27/2016,,,12,,,,,Thursday,Boulder,162,
10/26/2016,,,15.7,,,,,Wednesday,Boulder,161,
10/24/2016,,,16.2,,,,,Monday,Boulder,160,
10/23/2016,,,10.4,,,,,Sunday,Boulder,159,
10/22/2016,,,22.3,,,,,Saturday,Boulder,158,
10/21/2016,,,14.7,,,,,Friday,Boulder,157,
10/18/2016,,,15.2,,,,,Tuesday,Boulder,156,
10/14/2016,,,22.6,,,,,Friday,Boulder,155,
10/13/2016,,,12,,,,,Thursday,Boulder,154,
10/11/2016,,,17.2,,,,,Tuesday,Boulder,153,
10/10/2016,,,23.9,,,,,Monday,Boulder,152,
10/5/2016,,,14,,,,,Wednesday,Boulder,151,
10/4/2016,,,16.9,,,,,Tuesday,Boulder,150,
10/3/2016,,,22.1,,,,,Monday,Boulder,149,
9/30/2016,,,13,,,,,Friday,Boulder,148,
9/29/2016,,,22.8,,,,,Thursday,Boulder,147,
9/28/2016,,,17,,,,,Wednesday,Boulder,146,
9/27/2016,,,14.5,,,,,Tuesday,Boulder,145,
9/26/2016,,,21.5,,,,,Monday,Boulder,144,
9/24/2016,,,7,,,,,Saturday,Boulder,143,
9/23/2016,,,16.8,,,,,Friday,Boulder,142,
9/21/2016,,,21.3,,,,,Wednesday,Boulder,141,
9/20/2016,,,22.9,,,,,Tuesday,Boulder,140,
9/18/2016,,,20.7,,,,,Sunday,Boulder,139,
9/11/2016,,,9.7,,,,,Sunday,,138,
9/10/2016,,,,18.2,,,,Saturday,,137,
9/6/2016,,,,12,,,,Tuesday,,136,
9/5/2016,,,,18.6,,,,Monday,,135,
9/2/2016,,,,15,,,,Friday,,134,
8/31/2016,,,,13.1,,,,Wednesday,,133,
8/30/2016,,,,13.8,,,,Tuesday,,132,
8/29/2016,,,,19,,,,Monday,,131,
8/26/2016,,,,16.1,,,,Friday,,130,
8/25/2016,,,7.3,,,,,Thursday,,129,
8/24/2016,,,13.7,,,,,Wednesday,,128,
8/23/2016,,,,15.2,,,,Tuesday,,127,
8/21/2016,,,,10,,,,Sunday,,126,
8/20/2016,,,,18,,,,Saturday,,125,
8/19/2016,,,11,,,,,Friday,,124,
8/17/2016,,,,13.3,,,,Wednesday,,123,
8/16/2016,,,,12.9,,,,Tuesday,,122,
8/15/2016,,,,12.8,,,,Monday,,121,
8/14/2016,,,,15.5,,,,Sunday,,120,
8/12/2016,,,,17,,,,Friday,,119,
8/11/2016,,,,20.7,,,,Thursday,,118,
8/10/2016,,,,15.8,,,,Wednesday,,117,
8/8/2016,,,12.3,,,,,Monday,,116,
8/7/2016,,,13.4,,,,,Sunday,,115,
8/4/2016,,,,15.2,,,,Thursday,,114,
7/31/2016,,,,17,,,,Sunday,,113,
7/29/2016,,,,14,,,,Friday,,112,
7/28/2016,,,,11.7,,,,Thursday,,111,
7/27/2016,,,,15.1,,,,Wednesday,,110,
7/25/2016,,,10.8,,,,,Monday,,109,
7/22/2016,,,,14.4,,,,Friday,,108,
7/21/2016,,,,14.9,,,,Thursday,,107,
7/19/2016,,,,11.5,,,,Tuesday,,106,
7/18/2016,,,10.7,,,,,Monday,,105,
7/15/2016,,,,10.2,,,,Friday,,104,
7/14/2016,,,,12.4,,,,Thursday,,103,
7/13/2016,,,,15.2,,,,Wednesday,,102,
7/12/2016,,,12.3,,,,,Tuesday,,101,
7/11/2016,,,13.6,,,,,Monday,,100,
7/10/2016,,,10.5,,,,,Sunday,,99,
7/9/2016,,,7.3,,,,,Saturday,,98,
7/8/2016,,,10.4,,,,,Friday,,97,
7/6/2016,,,,15,,,,Wednesday,,96,
7/5/2016,,,,10.4,,,,Tuesday,,95,
7/4/2016,,,,21,,,,Monday,,94,
7/3/2016,,,,14.8,,,,Sunday,,93,
7/2/2016,,,,22.4,,,,Saturday,,92,
7/1/2016,,,,15.2,,,,Friday,,91,
6/30/2016,,,7.4,,,,,Thursday,,90,
6/28/2016,,,13.5,,,,,Tuesday,,89,
6/27/2016,,,10.1,,,,,Monday,,88,
6/26/2016,,,13.1,,,,,Sunday,,87,
6/24/2016,,,14.9,,,,,Friday,,86,
6/22/2016,,,11.7,,,,,Wednesday,,85,
6/20/2016,,,,12.6,,,,Monday,,84,
6/19/2016,,,,18.4,,,,Sunday,,83,
6/16/2016,10.9,,,,,,,Friday,,82,
6/13/2016,,,,16.1,,,,Monday,,81,
6/12/2016,,,,12.1,,,,Sunday,,80,
6/10/2016,,,,14.1,,,,Friday,,79,
6/9/2016,8.9,,,,,,,Thursday,,78,
6/7/2016,,,14.5,,,,,Tuesday,,77,
6/5/2016,,,,20.1,,,,Sunday,,76,
6/4/2016,,,,10.5,,,,Saturday,,75,
6/2/2016,,,15.8,,,,,Thursday,,74,
6/1/2016,,,15,,,,,Wednesday,,73,
5/31/2016,,,13.9,,,,,Tuesday,,72,
5/29/2016,11,,,,,,,Sunday,,71,
5/28/2016,9.5,,,,,,,Saturday,,70,
5/27/2016,,,13.5,,,,,Friday,,69,
5/26/2016,,,13,,,,,Thursday,,68,
5/25/2016,,,17,,,,,Wednesday,,67,
5/24/2016,,,14.6,,,,,Tuesday,,66,
5/22/2016,,,15.5,,,,,Sunday,,65,
5/19/2016,11,,,,,,,Thursday,,64,
5/18/2016,,,15.6,,,,,Wednesday,,63,
5/16/2016,10.5,,,,,,,Monday,,62,
5/15/2016,13.6,,,,,,,Sunday,,61,
5/13/2016,10.9,,,,,,,Friday,,60,
5/12/2016,10.5,,,,,,,Thursday,,59,
5/11/2016,10.7,,,,,,,Wednesday,,58,
5/10/2016,12.7,,,,,,,Tuesday,,57,
5/4/2016,,,12.4,,,,,Wednesday,,56,
5/3/2016,,,10.5,,,,,Tuesday,,55,
4/30/2016,,,9.1,,,,,Saturday,,54,
4/29/2016,,,15.1,,,,,Friday,,53,
4/26/2016,,,15.3,,,,,Tuesday,,52,
4/24/2016,12.3,,,,,,,Sunday,,51,
